# generated by tools/gen_prices_all.py. aws and gcp rows from ~/.sky/catalogs/v8 on 2026-09-08; runpod rows from RunPod's own catalog API on 2026-09-09. Do not hand-edit.
vendor,basis,card,gpus,region,instance,usd_per_hour,spot_low,spot_high,zones,flags
aws,machine,A100,8,ap-northeast-1,p4d.24xlarge,30.0978,12.0297,30.0978,2,
aws,machine,A100,8,ap-northeast-2,p4d.24xlarge,30.4103,12.1360,12.6498,2,
aws,machine,A100,8,ap-south-1,p4d.24xlarge,26.3444,26.0198,26.0242,3,
aws,machine,A100,8,ap-southeast-2,p4d.24xlarge,28.5449,11.0596,12.1773,2,
aws,machine,A100,8,ca-central-1,p4d.24xlarge,25.2517,14.0682,25.2517,2,
aws,machine,A100,8,eu-central-1,p4d.24xlarge,27.4330,11.4150,27.4330,3,
aws,machine,A100,8,eu-north-1,p4d.24xlarge,23.7157,11.5731,11.5731,1,
aws,machine,A100,8,eu-west-1,p4d.24xlarge,23.7157,15.1262,15.1262,1,
aws,machine,A100,8,eu-west-2,p4d.24xlarge,28.5449,7.3344,28.5449,2,
aws,machine,A100,8,us-east-1,p4d.24xlarge,21.9576,7.7221,18.2859,4,
aws,machine,A100,8,us-east-2,p4d.24xlarge,21.9576,9.7603,20.0224,3,
aws,machine,A100,8,us-west-2,p4d.24xlarge,21.9576,16.2246,17.8254,4,
aws,machine,A100-80GB,8,ap-northeast-1,p4de.24xlarge,37.6223,6.5470,37.6223,2,
aws,machine,A100-80GB,8,ap-southeast-1,p4de.24xlarge,32.9365,32.9365,32.9365,2,
aws,machine,A100-80GB,8,eu-central-1,p4de.24xlarge,34.2912,10.4208,13.6711,2,
aws,machine,A100-80GB,8,us-east-1,p4de.24xlarge,27.4471,19.3763,21.9044,2,
aws,machine,A100-80GB,8,us-west-2,p4de.24xlarge,27.4471,18.9276,21.6732,3,
aws,machine,A10G,1,ap-east-1,g5.xlarge,1.5488,0.4866,0.5012,2,
aws,machine,A10G,1,ap-northeast-1,g5.xlarge,1.4590,0.9937,1.1769,2,
aws,machine,A10G,1,ap-northeast-2,g5.xlarge,1.2370,0.3566,0.4936,3,
aws,machine,A10G,1,ap-south-1,g5.xlarge,1.2080,0.4460,0.4570,2,
aws,machine,A10G,1,ap-southeast-2,g5.xlarge,1.3080,0.6399,0.8721,2,
aws,machine,A10G,1,ap-southeast-3,g5.xlarge,1.4080,0.1651,1.3393,2,
aws,machine,A10G,1,ca-central-1,g5.xlarge,1.1170,0.4902,0.4923,2,
aws,machine,A10G,1,eu-central-1,g5.xlarge,1.2580,0.4918,0.5368,3,
aws,machine,A10G,1,eu-north-1,g5.xlarge,1.0670,0.4287,0.4362,2,
